	13
_	338
__	1
___	64
____	1
_about	1
_archie	2
_both	1
_buy	1
_creat	1
_dorothy	1
_for	1
_form	3
_how	1
_if	1
_joseph	1
_kemba	1
_leonard	2
_like	1
_linda	1
_met	1
_michael	2
_on	1
_refuel	2
_said	1
_sent	1
_susan	3
_the	3
_virginia	1
_what	1
_wheth	1
a	774
a#	1
aan	1
aaron	2
ab	1
aback	1
abahd	1
abandon	37
abate	1
abc	49
abccom	1
abcnewscom	3
abdallah	2
abdel	3
abdominal	2
abduct	2
abduction	1
abdul	5
abdulkarim	11
abdullah	40
abdurahman	1
aberration	1
abhad	1
abhiyan	1
abhorrence	2
abid	5
abide	2
abidjan	36
abijan	1
ability	32
ablaze	3
able	105
abnormal	1
aboard	93
abobo	3
abolish	4
abominable	1
abort	2
abortion	5
abou	1
abound	4
about	516
above	43
abovo	1
abraham	10
abreast	1
abrego	1
abroad	52
abrogat	1
abrogation	1
abrupt	5
abscam	1
absence	6
absent	4
absentee	7
absentia	3
absolute	43
absorb	9
abstain	1
abstention	1
absurd	2
abu	7
abundance	1
abundant	1
abus	6
abuse	22
abuseofpow	1
abuzaakouk	1
abyan	1
abyssinian	1
ac	1
academia	1
academic	6
academy	4
acced	1
accelerat	2
accelerate	2
accent	2
accentuat	1
accentuate	1
accept	120
acceptable	2
acceptance	5
acces	40
accessible	1
accident	32
accidental	3
accommodat	1
accommodate	1
accommodation	9
accompany	33
accomplice	5
accomplish	7
accomplishment	3
accord	141
accordance	5
according	1
accordion	1
account	80
accountability	16
accountable	43
accountant	2
accreditation	1
accumulat	2
accuracy	1
accurate	14
accus	101
accusation	8
accuse	24
accuser	3
accustom	2
ace	26
acerbity	2
achiev	15
achieve	11
achievement	6
acid	1
acidic	1
acknowledg	35
acknowledge	22
acolyte	1
acosta	1
acquaintance	1
acquiesce	1
acquir	3
acquire	2
acquisition	1
acquit	1
acquitt	5
acquittal	3
acrimoniou	1
acrimony	1
acrobat	3
acrobatic	2
acronym	1
acros	119
acrosstheboard	1
act	135
action	94
actionc	1
activat	1
activation	1
active	34
activism	1
activist	19
activity	59
actor	4
actres	2
actual	66
ad	10
adam	7
adamant	1
adapt	4
adaptive	1
add	130
addali	1
adden	1
addition	32
additional	45
addres	48
address	22
adem	1
aden	169
adenabyan	5
adenbas	1
adequate	7
adher	3
adhere	1
adiksa	1
adjacent	4
adjame	2
adjoin	3
adjourn	3
adjournment	1
adjust	5
adjustment	2
adlai	1
adm	44
admen	1
administ	3
administer	7
administration	113
administrationmediat	1
administrative	2
administrator	1
admir	2
admiral	32
admiralty	1
admire	2
admirer	2
admiring	1
admission	2
admit	17
admitt	24
ado	2
adobe	1
adolescence	1
adolescent	1
adopt	11
adoption	6
adorn	1
adouby	1
adrain	1
adrenaline	1
adriatic	1
adrift	4
adult	10
advanc	45
advance	23
advancement	1
advani	1
advantage	21
adventist	1
adventure	1
adventurou	1
adversary	2
adverse	1
adversity	1
advertis	11
advertiser	1
advice	6
advis	65
advise	6
adviser	15
advisor	10
advisory	2
advocacy	2
advocat	2
advocate	11
aegi	5
aegis	1
aerial	3
aeroflot	1
affable	1
affair	48
affect	29
affectionate	1
affiliat	3
affiliate	3
affirm	4
affirmative	2
afflict	1
afford	4
affordable	3
affront	2
afghan	15
afghanarab	1
afghanbas	3
afghanistan	46
afi	2
afibia	1
afield	1
afire	2
aflcio	2
afloat	13
afoul	1
afraid	28
afredo	1
africa	65
african	48
africanamerican	1
aft	626
aftehock	1
aftermath	14
afternoon	59
aftershock	43
afterward	13
afundamental	1
ag	3
again	146
against	347
agarwal	1
agassi	47
agbayani	1
age	32
agence	1
agency	116
agenda	14
agent	83
agglomeration	1
aggravat	12
aggression	2
aggressive	22
agile	1
agitate	1
ago	207
agoniz	6
agonizing	1
agony	3
agre	45
agree	36
agreement	49
agricultural	4
agriculture	13
agustin	1
ah	1
aha	1
ahead	53
ahemdabad	1
ahm	15
ahmad	1
ahmadabad	2
ahmar	1
ahmedabad	20
ahold	1
ahren	1
ai	1
aid	91
aida	2
aide	72
ail	5
ailment	1
aim	35
ainst	1
air	170
aircondition	1
aircraft	27
airdrop	1
airdropp	1
airfield	1
airforce	1
airlift	4
airline	5
airliner	1
airlock	1
airman	1
airmen	11
airplane	7
airport	49
airquality	1
airstrike	4
airtime	2
airtoair	1
airtraffic	1
airwave	1
airway	3
aisle	3
aj	1
ajax	1
ajnar	3
akaka	2
akan	2
akin	3
akishio	1
akouedo	1
al	107
ala	4
alabama	5
alabidine	4
alahmar	1
alain	1
alami	1
alamoudi	1
alan	5
alarm	19
alasan	1
alaska	3
alaskan	1
alassane	27
alayyam	1
albadawi	1
albania	1
albanian	18
albanianamerican	1
albany	1
albeit	4
albert	1
alberto	66
albright	47
album	1
alcee	3
alcohol	5
alehandre	1
alejandro	14
aleksa	1
aleksandar	6
alert	62
alessio	4
alex	9
alexa	2
alexand	9
alexandria	1
alexe	1
alexei	1
alexeyev	1
alexsand	1
alfadhli	1
alfonso	1
alfr	2
alfredo	1
algamaa	2
algamaat	1
algeria	3
algerian	5
algerin	1
alghashmi	1
alhadith	1
alhamdi	1
alharazi	2
alhassan	1
ali	41
alia	2
alibi	1
alien	1
alienat	1
alienation	1
alight	1
align	4
alignment	1
alija	1
alike	9
aliryani	11
alisan	2
alisha	1
alislamiya	2
alislaymiyya	1
alive	84
aljazeera	3
aljefri	1
aljihad	1
alkhamri	1
all	476
allafricacom	1
allah	1
allahabad	2
allahbad	1
allan	1
alleg	45
allegation	34
allege	1
alleged	23
allegiance	1
allen	22
allentown	1
alley	2
alleyway	3
allfrance	1
allfrench	2
alliance	10
allimportant	1
allize	1
allnight	2
allott	1
allow	133
allparty	1
allstar	1
alltime	1
allud	2
allusion	5
allwilliam	1
ally	71
alma	1
almagor	1
almasri	2
almegrahi	1
almidhar	2
almihdar	3
almost	118
almuhajiroun	3
almusawah	3
alnaderi	2
alnahdi	1
alnizali	1
alomeri	1
alone	39
along	118
alongside	39
alou	1
alowhali	2
alpha	2
alphabet	2
alphabetical	1
alpine	1
alqadhi	2
alqaeda	1
alqaida	3
already	164
alribat	1
alshahrani	3
alsharia	1
alsharjani	1
alsharq	1
alshueib	1
also	477
alt	3
alter	5
alternate	3
alternative	17
although	83
altitude	1
altogeth	4
aluminum	2
alun	6
alwadie	1
alway	93
alzawahri	2
alzindani	1
am	160
amadou	3
amanda	17
amarillo	2
amartej	3
amaru	4
amass	4
amateur	2
amaz	10
amazing	1
ambassador	47
ambersage	1
ambiguou	1
ambition	8
ambitiou	2
ambivalent	2
ambulance	11
ambush	1
amelie	6
amend	1
amendment	1
amerasian	1
america	128
american	341
americanislamic	1
americanl	1
americanstatesman	1
americanyemeni	1
americorp	1
amh	1
amiab	2
amicable	1
amid	51
amidship	2
amin	1
amit	1
amman	2
ammo	1
ammonium	1
ammunition	22
amnesia	2
amnesty	2
among	182
amongst	2
amount	30
amp	6
amphibiou	3
ample	2
amplify	1
amputat	7
amputate	4
amputation	2
amy	2
an	743
ana	7
anacostia	1
analgesic	1
analogy	1
analysi	9
analyst	38
analyz	3
analyze	2
anarchic	2
anathema	1
anato	8
anca	4
ancestor	3
ancestral	25
ancestry	1
anchor	8
anchorage	2
anchorman	3
ancient	4
andean	6
anderson	4
andjelkovic	1
andoslavia	1
andre	48
andrea	14
andrei	2
andrew	15
andrike	1
andy	5
anew	7
ang	32
angel	2
angele	13
anger	15
angl	6
angle	6
anglican	1
angri	4
angry	27
anguish	8
animal	1
animat	1
animist	2
animosity	11
anjana	1
anjar	6
anjay	1
anke	2
ankle	8
ankledeep	1
ann	6
anna	21
annabel	1
annacone	1
annan	13
anne	5
anniversary	15
announc	109
announce	37
announcement	49
annoy	1
annoyance	1
annual	18
annul	6
annull	6
anoma	1
anonymity	59
anonymou	3
anonymous	4
anoth	263
answ	22
answer	27
antagonize	1
antasiaovich	1
antenna	2
anthem	6
anthony	27
anthropologist	2
anti	1
antiaircraft	2
antiamerican	16
antiballistic	2
antibiotic	5
antibush	1
anticastro	1
anticipat	10
anticipate	4
anticipation	4
anticlimactic	1
anticommunist	2
anticorruption	2
antidiarrhea	1
antifbi	2
antiislamic	3
antiisrael	2
antimilitary	1
antimilosevic	20
antimissile	1
antinorthern	1
antiradar	1
antiship	2
antisoviet	1
antisubmarine	1
antiterrorism	6
antiterrorist	8
antiu	9
antiwar	8
antiwestern	5
antonia	6
antonin	1
antonio	26
anwar	4
anxiety	3
anxiou	11
anxious	2
any	312
anybody	14
anymore	9
anyone	58
anyth	94
anytime	4
anyway	13
anywhere	18
aok	1
aon	1
ap	20
apart	32
apartment	39
ape	1
apec	4
apex	1
apolitical	1
apologiz	10
apologize	4
apology	8
app	9
appall	1
appalling	1
apparatu	7
apparent	193
appeal	95
appear	173
appearance	32
appellate	1
appetite	2
applaud	10
applause	8
apple	3
applepick	1
appleton	2
applicable	1
applicant	5
application	13
apply	9
appoint	49
appointee	3
appointment	27
apprais	1
appraisal	2
appreciat	3
appreciate	7
appreciation	2
appreciative	4
apprehend	4
apprehension	2
apprentice	3
appris	1
approach	46
approache	4
appropriate	14
appropriatenes	1
appropriation	3
approv	11
approval	11
approve	4
approximate	12
april	67
aprista	4
apron	1
aquile	2
arab	49
arabamerican	2
arabi	1
arabia	71
arabian	44
arabianborn	1
arabic	15
arablanguage	3
arablook	1
arabspeak	1
arafat	16
arantxa	3
arazi	7
arbady	1
arbit	1
arbitrari	1
arbitrary	2
arc	1
arch	2
archaeological	2
archbishop	4
arche	1
archer	1
archery	4
archetype	1
archibald	1
archie	3
architect	7
architecture	4
arctic	6
ardent	4
arduou	1
are	2
area	184
arena	22
arent	16
argentina	10
argentine	1
argu	39
arguab	2
argue	7
argument	18
ari	1
arid	5
arif	1
arisen	1
arithmetic	1
aritomi	4
ariz	6
arizona	7
ark	8
arkadelphia	1
arkan	1
arkansa	28
arkansasbas	1
arkin	2
arleigh	2
arleighburkeclas	1
arlen	2
arlington	8
arm	132
armament	2
armbrist	1
armenia	2
armey	1
armitage	1
armor	17
armory	3
army	136
arn	3
arnaud	17
arnie	1
arno	1
arnold	3
arnot	1
arose	5
around	190
arous	1
arraign	2
arrang	15
arrange	10
arrangement	14
array	5
arrear	1
arrest	109
arriv	134
arrival	26
arrive	50
arrogance	1
arrogant	2
arrow	4
arsenal	10
arseni	1
arsonist	1
art	6
artful	3
arthriti	1
arthur	4
article	5
articulate	1
artifact	1
artificial	4
artist	3
artistic	1
artudo	1
arturo	6
aruba	2
aryapov	1
asa	1
asahi	1
ascend	1
ascrib	3
ascribe	1
asean	1
ash	2
asham	1
ashcroft	56
ashe	2
ashkroft	1
ashok	1
ashore	2
ashraf	1
ashshaab	1
ashtray	1
asia	22
asian	15
asiapacific	16
aside	30
ask	196
aspect	11
aspiration	2
assad	1
assail	1
assailant	3
assam	6
assassin	1
assassinat	3
assassinate	1
assassination	16
assault	28
assemb	2
assembl	15
assembly	1
assemblyforexport	1
assert	11
assertion	8
asses	22
assess	5
assessment	24
asset	10
assign	23
assignment	3
assist	23
assistance	40
assistant	15
assistedsuicide	1
associat	60
associate	29
associateturnedinformant	3
association	34
assortment	1
assum	14
assume	24
assumption	7
assur	22
assurance	9
assure	6
assured	2
astakhov	12
asterisk	2
astonish	6
astonishment	1
astound	2
astronomical	1
astute	1
asylum	29
asymmetric	1
asymmetrical	1
at	801
atal	13
atck	2
ate	4
atf	2
atfein	1
athale	1
athe	1
athlete	3
athletic	1
atlanta	6
atlantic	15
